year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,break_begin,break_end,total_break,break,world_reigns,ic_reigns,us_reigns
1990,3,2,Marty Jannetty,01:42:00,01:43:36,,Ted DiBiase,0,0,0,face,,1,Shawn Michaels,0,0,,,0,,,,,0,,,,,,,,
1990,4,3,Jake Roberts,01:44:28,01:54:35,,Randy Savage,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,5,4,Randy Savage,01:46:04,01:56:15,,Dusty Rhodes,1,0,0,heel,,0,0,0,0,,,1,,,,,0,,,,,,,,
1990,6,7,Roddy Piper,01:47:53,02:00:14,,Bad News Brown,1,0,0,face,,0,0,1,0,,,0,,,,,0,,,,,,,,
1990,7,5,The Warlord,01:50:03,01:58:19,,Andre the Giant,0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,8,9,Bret Hart,01:51:50,02:08:08,,Dusty Rhodes,0,0,0,face,,1,Jim Neidhart,0,0,,,1,,,,,0,,,,,,,,
1990,9,6,Bad News Brown,01:54:04,02:00:07,,Roddy Piper,0,0,1,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,10,12,Dusty Rhodes,01:55:50,02:14:09,,Earthquake,2,0,0,face,,0,0,0,0,,,1,,,,,0,,,,,,,,
1990,11,10,Andre the Giant,01:58:08,02:08:23,,Ax & Smash,2,0,0,heel,,1,Haku,0,0,,,1,,,,,0,,,,,,,,
1990,12,8,The Red Rooster,01:59:50,02:01:48,,Andre the Giant,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,13,13,Ax,02:01:46,02:14:36,,Earthquake,0,1,0,face,,1,Smash,0,0,,,0,,,,,0,,,,,,,,
1990,14,20,Haku,02:03:45,02:26:19,,Hulk Hogan,1,1,0,heel,,1,Andre the Giant,0,0,,,0,,,,,0,,,,,,,,
1990,15,16,Smash,02:05:42,02:20:42,,Haku,0,2,0,face,,1,Ax,0,0,,,0,,,,,0,,,,,,,,
1990,16,11,One Man Gang/Akeem,02:07:51,02:10:22,,Jimmy Snuka,0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,17,19,Jimmy Snuka,02:09:54,02:25:57,,Hulk Hogan,1,1,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,18,15,Dino Bravo,02:11:48,02:18:01,,The Ultimate Warrior,0,1,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,19,14,Earthquake,02:13:52,02:16:22,,"Jim Neidhart, Haku, Smash, Jimmy Snuka, Ted DiBiase, Dino Bravo",2,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,20,17,Jim Neidhart,02:15:43,02:24:25,,The Ultimate Warrior & Rick Martel,0,1,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,21,25,The Ultimate Warrior,02:17:41,02:32:12,,"Hulk Hogan, The Barbarian, Rick Rude",4,2,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,22,24,Rick Martel,02:19:49,02:28:04,,The Ultimate Warrior,0,2,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,23,21,Tito Santana,02:21:42,02:26:51,,"The Ultimate Warrior, Rick Martel",0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,24,22,The Honky Tonk Man,02:23:51,02:27:53,,Hulk Hogan,0,0,0,heel,,0,0,0,0,,,0,1,,,,0,,,,,,,,
1990,25,30,Hulk Hogan,02:25:44,02:38:33,,Winner,4,2,0,face,,0,0,0,0,,,1,,,,,0,,,,,,,,
1990,26,23,Shawn Michaels,02:27:49,02:28:01,,The Ultimate Warrior,0,0,0,face,,1,Marty Janetty,0,0,,,0,,,,,0,,,,,,,,
1990,27,26,The Barbarian,02:29:37,02:35:35,,Hercules,0,1,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,28,28,Rick Rude,02:30:26,02:36:53,,"Hulk Hogan, Mr. Perfect",1,1,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,29,27,Hercules,02:32:56,02:35:57,,Rick Rude,1,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1990,30,29,Mr. Perfect,02:35:02,02:38:33,,Hulk Hogan,0,1,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,1,4,Bret Hart,01:58:12,02:18:50,,The Undertaker,0,0,0,face,,1,Jim Neidhart,0,0,,,0,,,,,0,,,,,,,,
1991,2,1,Dino Bravo,01:58:12,02:01:20,,Greg Valentine,0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,3,15,Greg Valentine,02:00:21,02:44:34,,Hulk Hogan,1,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,4,3,Paul Roma,02:02:20,02:16:26,,Jake Roberts,0,0,0,heel,,1,Hercules,0,0,,,0,,,,,0,,,,,,,,
1991,5,7,The Texas Tornado,02:04:19,02:28:40,,The Undertaker,0,0,0,face,,0,0,0,0,,,1,,,,,0,,,,,,,,
1991,6,26,Rick Martel,02:06:19,02:58:49,,The British Bulldog,3,1,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,7,2,Saba Simba,02:08:23,02:10:51,,Rick Martel,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,8,5,Bushwhacker Butch,02:10:33,02:20:41,,The Undertaker,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,9,6,Jake Roberts,02:12:23,02:25:25,,Rick Martel,1,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,10,18,Hercules,02:14:24,02:52:09,,Brian Knobbs,0,1,0,heel,,1,Paul Roma,0,0,,,0,,,,,0,,,,,,,,
1991,11,16,Tito Santana,02:16:25,02:46:55,,Earthquake,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1991,12,10,The Undertaker,02:18:39,02:32:59,,"Hawk, Animal",3,0,0,heel,,0,0,0,0,,,1,,,,,0,,,,,,,,
1991,13,8,Jimmy Snuka,02:20:36,02:28:43,,Hawk,0,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,14,27,The British Bulldog,02:22:24,02:59:13,,"Earthquake, Brian Knobbs",3,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,15,14,Smash,02:24:26,02:42:53,,Hulk Hogan,0,0,0,heel,,1,Crush,0,,,,0,,,,,0,,,,,,,,
1991,16,11,Hawk,02:26:24,02:33:03,,"Rick Martel, Hercules",1,1,0,face,,1,Animal,0,,,,0,,,,,0,,,,,,,,
1991,17,21,Shane Douglas,02:28:26,02:54:54,,Brian Knobbs,0,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,18,9,Randy Savage,02:30:25,02:30:25,0,DQ,0,0,0,heel,,0,0,0,,,,1,,,,,0,,,,,,,,
1991,19,12,Animal,02:32:25,02:39:05,,Earthquake,0,1,0,face,,1,Hawk,0,,,,0,,,,,0,,,,,,,,
1991,20,19,Crush,02:34:28,02:53:05,,Hulk Hogan,0,0,0,heel,,1,Smash,0,,,,0,,,,,0,,,,,,,,
1991,21,13,Hacksaw Jim Duggan,02:36:32,02:41:16,,Mr. Perfect,0,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,22,29,Earthquake,02:38:43,03:03:29,,Hulk Hogan,3,1,0,heel ,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,23,23,Mr. Perfect,02:40:58,02:57:14,,The British Bulldog,0,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,24,30,Hulk Hogan,02:42:30,03:03:29,,Winner,7,0,0,face,,0,0,0,,,,1,,,,,0,,,,,,,,
1991,25,25,Haku,02:44:33,02:57:57,,The British Bulldog,0,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,26,24,Jim Neidhart,02:46:30,02:57:42,,Rick Martel,0,0,0,face,,1,Bret Hart,0,,,,0,,,,,0,,,,,,,,
1991,27,17,Bushwhacker Luke,02:48:49,02:48:52,,Earthquake,0,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,28,28,Brian Knobbs,02:50:33,03:00:41,,Hulk Hogan,2,1,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,29,20,The Warlord,02:52:32,02:54:08,,Hulk Hogan,0,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1991,30,22,Tugboat,02:54:33,02:57:05,,Hulk Hogan,0,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1992,1,7,The British Bulldog,00:02:29,00:26:05,,Ric Flair,3,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
1992,2,1,Ted DiBiase,00:02:29,00:03:47,,The British Bulldog,0,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1992,3,30,Ric Flair,00:05:00,01:04:30,,Winner,3,2,0,heel,,0,0,0,,,,1,,,,,0,,,,,,,,
1992,4,2,Jerry Sags,00:06:47,00:07:56,,The British Bulldog,0,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1992,5,3,Haku,00:08:37,00:10:27,,The British Bulldog,0,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1992,6,10,Shawn Michaels,00:10:49,00:26:36,,Tito Santana,1,0,0,heel,,0,0,0,,,,0,,,,,0,,,,,,,,
1992,7,9,Tito Santana,00:12:41,00:26:36,,Shawn Michaels,1,0,0,face,,0,0,0,,,,0,,,,,0,,,,,,,,
