,year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,Unnamed: 20,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,euro_champ,total_elim
46,1989,27,30,Big John Studd,3051,3906,855,Winner,2,0,0,face,,0.0,0,0.0,0.0,2.0,2.0,0,,855.0,855.0,0.0,0.0,,,2
47,1989,28,25,Hercules,3148,3580,432,"Ted DiBiase, The Barbarian",0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,432.0,432.0,0.0,0.0,,,0
48,1989,29,27,Rick Martel,3268,3694,426,Akeem,1,0,0,face,,1.0,Tito Santana,0.0,0.0,1.0,1.0,0,,426.0,426.0,0.0,0.0,,,1
49,1989,30,29,Ted DiBiase,3404,3906,502,Big John Studd,1,2,0,heel,,0.0,0,0.0,0.0,3.0,3.0,0,,502.0,502.0,0.0,0.0,,,3
50,1990,1,18,Ted DiBiase,0,2693,2693,The Ultimate Warrior,2,1,0,heel,,0.0,0,0.0,0.0,6.0,3.0,0,,3195.0,1597.0,1.0,0.0,,,3
51,1990,2,1,Koko B. Ware,0,98,98,Ted DiBiase,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,165.0,82.0,1.0,0.0,,,0
52,1990,3,2,Marty Jannetty,131,227,96,Ted DiBiase,0,0,0,face,,1.0,Shawn Michaels,0.0,0.0,1.0,0.0,0,,568.0,284.0,1.0,0.0,,,0
53,1990,4,3,Jake Roberts,279,886,607,Randy Savage,0,0,0,face,,0.0,0,0.0,0.0,2.0,0.0,0,,2049.0,683.0,2.0,0.0,,,0
54,1990,5,4,Randy Savage,375,986,611,Dusty Rhodes,1,0,0,heel,,0.0,0,0.0,0.0,4.0,2.0,1,,1357.0,678.0,1.0,0.0,,,1
55,1990,6,7,Roddy Piper,484,1225,741,Bad News Brown,1,0,0,face,,0.0,0,1.0,0.0,1.0,1.0,0,,741.0,741.0,0.0,0.0,,,1
56,1990,7,5,The Warlord,614,1110,496,Andre the Giant,0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,,498.0,249.0,1.0,0.0,,,0
57,1990,8,9,Bret Hart,721,1699,978,Dusty Rhodes,0,0,0,face,,1.0,Jim Neidhart,0.0,0.0,1.0,0.0,1,,2524.0,1262.0,1.0,0.0,,,0
58,1990,9,6,Bad News Brown,855,1218,363,Roddy Piper,0,0,1,heel,,0.0,0,0.0,0.0,2.0,1.0,0,,1347.0,673.0,1.0,0.0,,,1
59,1990,10,12,Dusty Rhodes,961,2060,1099,Earthquake,2,0,0,face,,0.0,0,0.0,0.0,2.0,2.0,1,,1099.0,1099.0,0.0,0.0,,,2
60,1990,11,10,Andre the Giant,1099,1714,615,Ax & Smash,2,0,0,heel,,1.0,Haku,0.0,0.0,5.0,2.0,1,,1450.0,725.0,1.0,0.0,,,2
61,1990,12,8,The Red Rooster,1201,1319,118,Andre the Giant,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,794.0,397.0,1.0,0.0,,,0
62,1990,13,13,Ax,1317,2087,770,Earthquake,0,1,0,face,,1.0,Smash,0.0,0.0,1.0,0.0,0,,1646.0,823.0,1.0,0.0,,,1
63,1990,14,20,Haku,1436,2790,1354,Hulk Hogan,1,1,0,heel,,1.0,Andre the Giant,0.0,0.0,2.0,2.0,0,,1354.0,1354.0,0.0,0.0,,,2
64,1990,15,16,Smash,1553,2453,900,Haku,0,2,0,face,,1.0,Ax,0.0,0.0,2.0,1.0,0,,1196.0,598.0,1.0,0.0,,,2
65,1990,16,11,One Man Gang/Akeem,1682,1833,151,Jimmy Snuka,0,0,0,heel,,0.0,0,0.0,0.0,8.0,2.0,0,,1790.0,596.0,2.0,0.0,,,0
66,1990,17,19,Jimmy Snuka,1805,2768,963,Hulk Hogan,1,1,0,face,,0.0,0,0.0,0.0,2.0,2.0,0,,963.0,963.0,0.0,0.0,,,2
67,1990,18,15,Dino Bravo,1919,2292,373,The Ultimate Warrior,0,1,0,heel,,0.0,0,0.0,0.0,3.0,1.0,0,,865.0,432.0,1.0,0.0,,,1
68,1990,19,14,Earthquake,2043,2193,150,"Jim Neidhart, Haku, Smash, Jimmy Snuka, Ted DiBiase, Dino Bravo",2,0,0,heel,,0.0,0,0.0,0.0,2.0,2.0,0,,150.0,150.0,0.0,0.0,,,2
69,1990,20,17,Jim Neidhart,2154,2676,522,The Ultimate Warrior & Rick Martel,0,1,0,face,,0.0,0,0.0,0.0,2.0,1.0,0,,1668.0,834.0,1.0,0.0,,,1
70,1990,21,25,The Ultimate Warrior,2272,3143,871,"Hulk Hogan, The Barbarian, Rick Rude",4,2,0,face,,0.0,0,0.0,0.0,6.0,6.0,0,,871.0,871.0,0.0,0.0,,,6
71,1990,22,24,Rick Martel,2400,2895,495,The Ultimate Warrior,0,2,0,heel,,0.0,0,0.0,0.0,3.0,1.0,0,,921.0,460.0,1.0,0.0,,,2
72,1990,23,21,Tito Santana,2513,2822,309,"The Ultimate Warrior, Rick Martel",0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,1710.0,570.0,2.0,0.0,,,0
73,1990,24,22,The Honky Tonk Man,2642,2884,242,Hulk Hogan,0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,1.0,493.0,246.0,1.0,0.0,,,0
74,1990,25,30,Hulk Hogan,2755,3524,769,Winner,4,2,0,face,,0.0,0,0.0,0.0,16.0,8.0,1,,1461.0,730.0,1.0,0.0,,,6
75,1990,26,23,Shawn Michaels,2880,2892,12,The Ultimate Warrior,0,0,0,face,,1.0,Marty Janetty,0.0,0.0,1.0,0.0,0,,883.0,441.0,1.0,0.0,,,0
76,1990,27,26,The Barbarian,2988,3346,358,Hercules,0,1,0,heel,,0.0,0,0.0,0.0,3.0,1.0,0,,1093.0,546.0,1.0,0.0,,,1
77,1990,28,28,Rick Rude,3037,3424,387,"Hulk Hogan, Mr. Perfect",1,1,0,heel,,0.0,0,0.0,0.0,2.0,2.0,0,,387.0,387.0,0.0,0.0,,,2
78,1990,29,27,Hercules,3187,3368,181,Rick Rude,1,0,0,face,,0.0,0,0.0,0.0,1.0,0.0,0,,613.0,306.0,1.0,0.0,,,1
79,1990,30,29,Mr. Perfect,3313,3524,211,Hulk Hogan,0,1,0,heel,,0.0,0,0.0,0.0,2.0,1.0,0,,1888.0,944.0,1.0,0.0,,,1
80,1991,1,4,Bret Hart,0,1238,1238,The Undertaker,0,0,0,face,,1.0,Jim Neidhart,0.0,0.0,1.0,0.0,0,,3762.0,1254.0,2.0,0.0,,,0
81,1991,2,1,Dino Bravo,0,188,188,Greg Valentine,0,0,0,heel,,0.0,0,0.0,0.0,3.0,1.0,0,,1053.0,351.0,2.0,0.0,,,0
82,1991,3,15,Greg Valentine,129,2782,2653,Hulk Hogan,1,0,0,heel,,0.0,0,0.0,0.0,1.0,0.0,0,,3846.0,1923.0,1.0,0.0,,,1
83,1991,4,3,Paul Roma,248,1094,846,Jake Roberts,0,0,0,heel,,1.0,Hercules,0.0,0.0,0.0,0.0,0,,846.0,846.0,0.0,0.0,,,0
84,1991,5,7,The Texas Tornado,367,1828,1461,The Undertaker,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,1,,1461.0,1461.0,0.0,0.0,,,0
85,1991,6,26,Rick Martel,487,3637,3150,The British Bulldog,3,1,0,heel,,0.0,0,0.0,0.0,7.0,2.0,0,,4071.0,1357.0,2.0,0.0,,,4
86,1991,7,2,Saba Simba,611,759,148,Rick Martel,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,148.0,148.0,0.0,0.0,,,0
87,1991,8,5,Bushwhacker Butch,741,1349,608,The Undertaker,0,0,0,face,,0.0,0,0.0,0.0,1.0,0.0,0,,1703.0,851.0,1.0,0.0,,,0
88,1991,9,6,Jake Roberts,851,1633,782,Rick Martel,1,0,0,face,,0.0,0,0.0,0.0,3.0,0.0,0,,2831.0,707.0,3.0,0.0,,,1
89,1991,10,18,Hercules,972,3237,2265,Brian Knobbs,0,1,0,heel,,1.0,Paul Roma,0.0,0.0,2.0,0.0,0,,2878.0,959.0,2.0,0.0,,,1
90,1991,11,16,Tito Santana,1093,2923,1830,Earthquake,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,3540.0,885.0,3.0,0.0,,,0
91,1991,12,10,The Undertaker,1227,2087,860,"Hawk, Animal",3,0,0,heel,,0.0,0,0.0,0.0,3.0,3.0,1,,860.0,860.0,0.0,0.0,,,3
